# valid, vars, cons, qubits, optimal, jobs, depth, problem

100, 3, 3, 3, 100, None, None, 2

100, 6, 8, 6, 100, None, None, 2

100, 9, 13, 9, 100, None, None, 2

100, 12, 18, 12, 100, None, None, 2

100, 15, 23, 15, 100, None, None, 2

100, 18, 28, 19, 77, None, None, 2

100, 21, 37, 23, 53, None, None, 2

100, 24, 42, 25, 50, None, None, 2

100, 27, 47, 32, 47, None, None, 2

100, 30, 52, 32, 48, None, None, 2

100, 30, 52, 31, 38, None, None, 2

100, 30, 52, 34, 45, None, None, 2

100, 33, 57, 37, 46, None, None, 2

100, 37, 62, 42, 42, None, None, 2

100, 41, 67, 43, 45, None, None, 2

100, 45, 72, 49, 37, None, None, 2

100, 50, 80, 54, 23, None, None, 2

100, 55, 90, 62, 18, None, None, 2

100, 60, 100, 69, 5, None, None, 2

100, 65, 110, 73, 0, None, None, 2

100, 75, 135, 85, 4, None, None, 2

100, 85, 160, 104, 1, None, None, 2

100, 95, 185, 129, 3, None, None, 2

100, 105, 210, 134, 3, None, None, 2

100, 12, 24, 15, 83, None, None, 2

100, 12, 31, 16, 70, None, None, 2

100, 12, 37, 18, 82, None, None, 2

100, 12, 43, 20, 51, None, None, 2

100, 12, 48, 20, 65, None, None, 2

100, 12, 54, 21, 43, None, None, 2

100, 12, 60, 24, 12, None, None, 2

100, 12, 63, 22, 64, None, None, 2
