# valid, vars, cons, qubits, optimal, jobs, depth, problem
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0

1, 33, 57, 33, 1, 26, 180, 1
1, 30, 52, 31, 1, 33, 193, 1
1, 27, 47, 28, 1, 32, 153, 1
1, 24, 42, 27, 1, 27, 133, 1
1, 12, 63, 14, 1, 32, 196, 1
1, 12, 60, 14, 1, 30, 179, 1
1, 12, 54, 12, 1, 29, 151, 1
1, 12, 48, 12, 1, 32, 136, 1
1, 12, 43, 13, 1, 33, 142, 1
1, 12, 37, 13, 1, 28, 128, 1
1, 12, 31, 13, 1, 28, 119, 1
1, 12, 24, 13, 1, 30, 86, 1
1, 21, 37, 21, 1, 27, 127, 1
1, 18, 28, 18, 1, 29, 103, 1
1, 15, 23, 15, 1, 32, 93, 1
1, 12, 18, 13, 1, 33, 69, 1
1, 9, 13, 12, 1, 34, 56, 1
1, 6, 8, 6, 1, 30, 44, 1
1, 3, 3, 3, 1, 32, 21, 1

1, 37, 62, 37, 0, 31, 172, 1


1, 60, 100, 62, 0, 27, 275, 2
1, 55, 90, 55, 0, 32, 224, 2
1, 50, 80, 54, 0, 28, 271, 2
1, 45, 72, 49, 0, 32, 239, 2
1, 41, 67, 41, 0, 35, 208, 2
